x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-80.0,190.0,160.0,1,0,-37,1669,1375,1562,746,{#000P1669T1500!#001P1375T1500!#002P1562T1500!#003P0746T1500!}
-80.0,190.0,170.0,1,0,-34,1669,1375,1528,734,{#000P1669T1500!#001P1375T1500!#002P1528T1500!#003P0734T1500!}
-80.0,190.0,180.0,1,0,-30,1669,1440,1649,820,{#000P1669T1500!#001P1440T1500!#002P1649T1500!#003P0820T1500!}
-80.0,190.0,190.0,0,8,,,,,,
-80.0,190.0,200.0,0,8,,,,,,
-80.0,190.0,210.0,0,8,,,,,,
-80.0,190.0,220.0,0,8,,,,,,
-80.0,200.0,80.0,1,0,-45,1661,1446,2095,1149,{#000P1661T1500!#001P1446T1500!#002P2095T1500!#003P1149T1500!}
-80.0,200.0,90.0,1,0,-45,1661,1441,2033,1091,{#000P1661T1500!#001P1441T1500!#002P2033T1500!#003P1091T1500!}
-80.0,200.0,100.0,1,0,-45,1661,1431,1961,1030,{#000P1661T1500!#001P1431T1500!#002P1961T1500!#003P1030T1500!}
-80.0,200.0,110.0,1,0,-45,1661,1412,1876,963,{#000P1661T1500!#001P1412T1500!#002P1876T1500!#003P0963T1500!}
-80.0,200.0,120.0,1,0,-45,1661,1380,1763,883,{#000P1661T1500!#001P1380T1500!#002P1763T1500!#003P0883T1500!}
-80.0,200.0,130.0,1,0,-44,1661,1347,1650,810,{#000P1661T1500!#001P1347T1500!#002P1650T1500!#003P0810T1500!}
-80.0,200.0,140.0,1,0,-41,1661,1367,1657,819,{#000P1661T1500!#001P1367T1500!#002P1657T1500!#003P0819T1500!}
-80.0,200.0,150.0,1,0,-39,1661,1328,1529,745,{#000P1661T1500!#001P1328T1500!#002P1529T1500!#003P0745T1500!}
-80.0,200.0,160.0,1,0,-36,1661,1343,1530,753,{#000P1661T1500!#001P1343T1500!#002P1530T1500!#003P0753T1500!}
-80.0,200.0,170.0,1,0,-33,1661,1351,1515,753,{#000P1661T1500!#001P1351T1500!#002P1515T1500!#003P0753T1500!}
-80.0,200.0,180.0,0,8,,,,,,
-80.0,200.0,190.0,0,8,,,,,,
-80.0,200.0,200.0,0,8,,,,,,
-80.0,200.0,210.0,0,8,,,,,,
-80.0,200.0,220.0,0,8,,,,,,
-80.0,210.0,80.0,1,0,-45,1654,1407,2047,1139,{#000P1654T1500!#001P1407T1500!#002P2047T1500!#003P1139T1500!}
-80.0,210.0,90.0,1,0,-45,1654,1402,1983,1080,{#000P1654T1500!#001P1402T1500!#002P1983T1500!#003P1080T1500!}
-80.0,210.0,100.0,1,0,-45,1654,1389,1907,1017,{#000P1654T1500!#001P1389T1500!#002P1907T1500!#003P1017T1500!}
-80.0,210.0,110.0,1,0,-45,1654,1366,1811,944,{#000P1654T1500!#001P1366T1500!#002P1811T1500!#003P0944T1500!}
