x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-160.0,140.0,20.0,1,0,-45,1861,1071,2124,1552,{#000P1861T1500!#001P1071T1500!#002P2124T1500!#003P1552T1500!}
-160.0,140.0,40.0,1,0,-45,1861,1132,2126,1494,{#000P1861T1500!#001P1132T1500!#002P2126T1500!#003P1494T1500!}
-160.0,140.0,60.0,1,0,-45,1861,1184,2109,1425,{#000P1861T1500!#001P1184T1500!#002P2109T1500!#003P1425T1500!}
-160.0,140.0,80.0,1,0,-45,1861,1224,2073,1349,{#000P1861T1500!#001P1224T1500!#002P2073T1500!#003P1349T1500!}
-160.0,140.0,100.0,1,0,-45,1861,1252,2017,1265,{#000P1861T1500!#001P1252T1500!#002P2017T1500!#003P1265T1500!}
-160.0,140.0,120.0,1,0,-45,1861,1263,1936,1173,{#000P1861T1500!#001P1263T1500!#002P1936T1500!#003P1173T1500!}
-160.0,140.0,140.0,1,0,-45,1861,1252,1818,1066,{#000P1861T1500!#001P1252T1500!#002P1818T1500!#003P1066T1500!}
-160.0,140.0,160.0,1,0,-45,1861,1170,1558,887,{#000P1861T1500!#001P1170T1500!#002P1558T1500!#003P0887T1500!}
-160.0,140.0,180.0,1,0,-37,1861,1200,1559,918,{#000P1861T1500!#001P1200T1500!#002P1559T1500!#003P0918T1500!}
-160.0,140.0,200.0,0,8,,,,,,
-160.0,140.0,220.0,0,8,,,,,,
-160.0,140.0,240.0,0,8,,,,,,
-160.0,140.0,260.0,0,8,,,,,,
-160.0,140.0,280.0,0,8,,,,,,
-160.0,140.0,300.0,0,8,,,,,,
-160.0,140.0,320.0,0,8,,,,,,
-160.0,160.0,0.0,1,0,-45,1833,970,2004,1533,{#000P1833T1500!#001P0970T1500!#002P2004T1500!#003P1533T1500!}
-160.0,160.0,20.0,1,0,-45,1833,1033,2026,1493,{#000P1833T1500!#001P1033T1500!#002P2026T1500!#003P1493T1500!}
-160.0,160.0,40.0,1,0,-45,1833,1089,2029,1439,{#000P1833T1500!#001P1089T1500!#002P2029T1500!#003P1439T1500!}
-160.0,160.0,60.0,1,0,-45,1833,1135,2011,1375,{#000P1833T1500!#001P1135T1500!#002P2011T1500!#003P1375T1500!}
-160.0,160.0,80.0,1,0,-45,1833,1170,1972,1302,{#000P1833T1500!#001P1170T1500!#002P1972T1500!#003P1302T1500!}
-160.0,160.0,100.0,1,0,-45,1833,1190,1910,1219,{#000P1833T1500!#001P1190T1500!#002P1910T1500!#003P1219T1500!}
-160.0,160.0,120.0,1,0,-45,1833,1191,1813,1121,{#000P1833T1500!#001P1191T1500!#002P1813T1500!#003P1121T1500!}
-160.0,160.0,140.0,1,0,-45,1833,1147,1627,979,{#000P1833T1500!#001P1147T1500!#002P1627T1500!#003P0979T1500!}
-160.0,160.0,160.0,1,0,-39,1833,1147,1556,953,{#000P1833T1500!#001P1147T1500!#002P1556T1500!#003P0953T1500!}
-160.0,160.0,180.0,1,0,-31,1833,1185,1582,1001,{#000P1833T1500!#001P1185T1500!#002P1582T1500!#003P1001T1500!}
-160.0,160.0,200.0,0,8,,,,,,
-160.0,160.0,220.0,0,8,,,,,,
-160.0,160.0,240.0,0,8,,,,,,
-160.0,160.0,260.0,0,8,,,,,,
-160.0,160.0,280.0,0,8,,,,,,
-160.0,160.0,300.0,0,8,,,,,,
-160.0,160.0,320.0,0,8,,,,,,
-160.0,180.0,0.0,1,0,-45,1808,921,1875,1453,{#000P1808T1500!#001P0921T1500!#002P1875T1500!#003P1453T1500!}
-160.0,180.0,20.0,1,0,-45,1808,982,1901,1419,{#000P1808T1500!#001P0982T1500!#002P1901T1500!#003P1419T1500!}
-160.0,180.0,40.0,1,0,-45,1808,1033,1904,1370,{#000P1808T1500!#001P1033T1500!#002P1904T1500!#003P1370T1500!}
-160.0,180.0,60.0,1,0,-45,1808,1073,1883,1309,{#000P1808T1500!#001P1073T1500!#002P1883T1500!#003P1309T1500!}
-160.0,180.0,80.0,1,0,-45,1808,1100,1836,1235,{#000P1808T1500!#001P1100T1500!#002P1836T1500!#003P1235T1500!}
-160.0,180.0,100.0,1,0,-45,1808,1107,1751,1144,{#000P1808T1500!#001P1107T1500!#002P1751T1500!#003P1144T1500!}
-160.0,180.0,120.0,1,0,-44,1808,1084,1610,1033,{#000P1808T1500!#001P1084T1500!#002P1610T1500!#003P1033T1500!}
-160.0,180.0,140.0,1,0,-39,1808,1075,1520,989,{#000P1808T1500!#001P1075T1500!#002P1520T1500!#003P0989T1500!}
-160.0,180.0,160.0,1,0,-32,1808,1120,1558,1034,{#000P1808T1500!#001P1120T1500!#002P1558T1500!#003P1034T1500!}
-160.0,180.0,180.0,0,8,,,,,,
-160.0,180.0,200.0,0,8,,,,,,
-160.0,180.0,220.0,0,8,,,,,,
